canonical_id,number,stem,option_count,answer_index,answer_text,confidence,source_files,line_refs
batch5_family_pair_q082,79,"Tenaga kesehatan berhak mendapatkan imbalan dan perlindungan hukum dalam melaksanakan tugas sesuai dengan profesinya, terdapat dalam",5,2,Pasal 27 undang-undang nomon 36 tahun 2009,high,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:44-49; B:54-59
batch5_family_pair_q083,80,Tujuan rehabilitasi pada ulkus decubitus adalah?,5,2,Memperbaiki sirkulasi darah kejaringan,medium,388802_Tutorial Jadi Youtuber Bro.docx,A:63-68
batch5_family_pair_q084,81,"Peristiwa episodik abnormal yang terjadi selama tidur, disebut",5,1,Parasomnia,high,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:104-109; B:65-70
batch5_family_pair_q085,82,Evaluasi yang dilakukan sebelum tindakan ECT adalah,5,2,"Kimia darah, urin lengkap, rontgen thorax, dan EKG",high,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:276-281; B:71-76
batch5_family_pair_q086,83,"Salah satu karakteristik dari seizure atau bangkitan adalah muncul mendadak secara tiba-tiba tanpa pemicu atau provokasi, dan juga hilang secara tiba-tiba. Terminologi yang menjelaskan cara ini adalah",5,3,Paroksismal,high,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:414-419; B:77-82
batch5_family_pair_q087,84,Blood-Brain Barrier merupakan sistem otak yang melapisi dinding pembuluh darah otak yang berfungsi sebagai?,5,0,Perlindungan otak dari kandungan darah di sirkulasi,high,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:140-145; B:83-93
batch5_family_pair_q088,85,Salah satu karakterstik dari seizure atau bangkitan adalah muncul berulang dengan pola yang sama dan konsisten. Terminologi yang memperjelas ciri ini adalah,5,0,Stereopik,high,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:300-305; B:94-99
batch5_family_pair_q089,86,"Pernyataan yang salah dibawah ini terkait Nervi opticus, adalah",4,2,Saraf ini keluar dari mesencephalon,high,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:358-362; B:107-112
batch5_family_pair_q091,87,Golongan opoid sintetik yang digunakan untuk terapi penyalahgunaan heroin adalah,4,2,Metadon,high,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:236-240; B:113-117
batch5_family_pair_q092,88,"Anti psikosis disebut juga sebagai neuroleptik karena kemampuannya menghasilkan neurolepsis. Berikut ini yang dimaksud neurolepsis, kecuali",4,3,Mood swing,high,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:392-396; B:118-124
batch5_family_pair_q097,89,pernyataan yang tidak benar dibawah ini adalah?,5,,,low,388802_Tutorial Jadi Youtuber Bro.docx,A:200-205
batch5_family_pair_q099,90,"Seorang pasien wanita datang ke poliklinik bedah saraf rujukan dari bagian penyakit mata dengan D/ SOL intracranial, keluhan nyeri kepala hebat, muntah dan hasil pemeriksaan funduscopy dan campemetri menunjukkan adanya pupil edem ringan dan hermianopsia bitemporal.Dari hasil pemeriksaan tsb dapat diduga diagnosa yg paling mungkin adalah",5,2,Adenoma hypofise,high,388802_Tutorial Jadi Youtuber Bro.docx,A:352-357
batch5_family_pair_q101,91,Terapi empiric yang tepat pada kasus toksoplasmosis pada fase akut adalah?,5,0,Pirimetamin loading dose 200 mg,medium,388802_Tutorial Jadi Youtuber Bro.docx,A:397-402
batch5_family_pair_q106,92,Dibawah ini merupakan garis besar pemeriksaan status mental kecuali,5,4,Riwayat gangguan jiwa sebelumnya,high,388802_Tutorial Jadi Youtuber Bro.docx,A:472-477
